file,sheet,source_row_number,cow_id,observation_id,column,issue_type,original_value,severity,recommended_action
ALL_WORKBOOKS,N/A,N/A,N/A,UNCLEAR,date/time,DATE_AND_TIME_FIELDS_ABSENT,No observation date or timestamp,HIGH,Obtain dates/times before temporal or causal feature use.
ALL_WORKBOOKS,N/A,N/A,N/A,UNCLEAR,temperature/humidity,ENVIRONMENTAL_INPUTS_ABSENT,"No numeric temperature, humidity, or THI values",HIGH,Obtain underlying environmental measurements.
Blood metabolites.xlsx,Sheet1,2,102,UNCLEAR,Animal ID,MIXED_IDENTIFIER_CELL_TYPES,102,MEDIUM,Confirm identifier storage type; do not alter raw cells.
Blood metabolites.xlsx,Sheet1,3,102,UNCLEAR,Animal ID,MIXED_IDENTIFIER_CELL_TYPES,102,MEDIUM,Confirm identifier storage type; do not alter raw cells.
Blood metabolites.xlsx,Sheet1,HEADER,ALL,UNCLEAR,ALT (U/I),UNIT_CONFLICT_WITH_METADATA,Workbook U/I; metadata U/L,HIGH,Obtain source-owner confirmation of the intended unit.
Blood metabolites.xlsx,Sheet1,HEADER,ALL,UNCLEAR,AST (U/I),UNIT_CONFLICT_WITH_METADATA,Workbook U/I; metadata U/L,HIGH,Obtain source-owner confirmation of the intended unit.
"DMI, milk yield and composition.xlsx",Sheet1,137,111,T0-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,138,111,T0-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,139,111,T0-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,140,111,T0-R4,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,141,111,T0-R5,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,142,111,T1-R1,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,143,111,T1-R2,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
"DMI, milk yield and composition.xlsx",Sheet1,144,111,T1-R3,Animal ID,CROSS_WORKBOOK_COW_ID_COVERAGE_MISMATCH,111,HIGH,Confirm cow ID with source owner before joining physiology to DMI/milk or blood.
