source_workbook,source_sheet,source_row_number,cow_id,replication,thi_category,genetic_group,partition,group_cv_fold,random_seed,split_version
"DMI, milk yield and composition.xlsx",Sheet1,2,102,1,T0,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,3,102,2,T0,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,4,102,3,T0,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,5,102,4,T0,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,6,102,5,T0,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,7,102,1,T1,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,8,102,2,T1,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,9,102,3,T1,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,10,102,4,T1,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,11,102,5,T1,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,12,102,1,T2,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,13,102,2,T2,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,14,102,3,T2,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,15,102,4,T2,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,16,102,5,T2,Local,development,5,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,17,103,1,T0,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,18,103,2,T0,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,19,103,3,T0,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,20,103,4,T0,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,21,103,5,T0,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,22,103,1,T1,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,23,103,2,T1,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,24,103,3,T1,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,25,103,4,T1,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,26,103,5,T1,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,27,103,1,T2,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,28,103,2,T2,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,29,103,3,T2,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,30,103,4,T2,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,31,103,5,T2,Local,development,4,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,32,104,1,T0,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,33,104,2,T0,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,34,104,3,T0,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,35,104,4,T0,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,36,104,5,T0,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,37,104,1,T1,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,38,104,2,T1,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,39,104,3,T1,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,40,104,4,T1,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,41,104,5,T1,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,42,104,1,T2,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,43,104,2,T2,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,44,104,3,T2,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,45,104,4,T2,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,46,104,5,T2,Local,development,3,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,47,105,1,T0,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,48,105,2,T0,Local,development,2,42,bangladesh_group_split_v1
"DMI, milk yield and composition.xlsx",Sheet1,49,105,3,T0,Local,development,2,42,bangladesh_group_split_v1
