source_variable,full_definition,unit,measurement_period,measurement_method,workbook,sheet,exact_source_column,measurement_status,notes
Cow_ID,Unique identification number of each cow,UNCLEAR,per observation,Administrative/source identifier,physiological responses.xlsx,Sheet1,Animal ID,IDENTIFIER,
Genetic_Group,"Genetic proportion of Holstein-Friesian inheritance (0%, 50%, 62.5%, 75%, 87.5% HF)",UNCLEAR,per observation,Recorded observation; exact collection method UNCLEAR,physiological responses.xlsx,Sheet1,Genetic group,OBSERVED,
THI_Range,"THI category (T₀ ≤75, T₁ = 75–80, T₂ ≥80)",UNCLEAR,per observation,Assigned categorical range based on environmental THI,physiological responses.xlsx,Sheet1,THI Range,TREATMENT_ASSIGNED,
Replication_No,Replicate number of observation,UNCLEAR,per observation,Administrative/source identifier,physiological responses.xlsx,Sheet1,Replication No,IDENTIFIER,
Rectal_Temp_F,Rectal temperature (°F),°F,per observation,Source record says measured using standard procedures; exact instrument/protocol UNCLEAR,physiological responses.xlsx,Sheet1,Rectal Temp (F),DIRECTLY_MEASURED,
Pulse_Rate_bpm,Heart rate (beats per minute),beats/min,per observation,Source record says measured using standard procedures; exact instrument/protocol UNCLEAR,physiological responses.xlsx,Sheet1,Pulse Rate (bpm),DIRECTLY_MEASURED,
Respiration_Rate_bpm,Breathing rate (breaths per minute),breaths/min,per observation,Source record says measured using standard procedures; exact instrument/protocol UNCLEAR,physiological responses.xlsx,Sheet1,Respiration Rate (bpm),DIRECTLY_MEASURED,
Cow_ID,Unique identification number of each cow,UNCLEAR,per observation,Administrative/source identifier,"DMI, milk yield and composition.xlsx",Sheet1,Animal ID,IDENTIFIER,
Genetic_Group,"Genetic proportion of Holstein-Friesian inheritance (0%, 50%, 62.5%, 75%, 87.5% HF)",UNCLEAR,per observation,Recorded observation; exact collection method UNCLEAR,"DMI, milk yield and composition.xlsx",Sheet1,Genetic Group,OBSERVED,
THI_Range,"THI category (T₀ ≤75, T₁ = 75–80, T₂ ≥80)",UNCLEAR,per observation,Assigned categorical range based on environmental THI,"DMI, milk yield and composition.xlsx",Sheet1,THI Range,TREATMENT_ASSIGNED,
Replication_No,Replicate number of observation,UNCLEAR,per observation,Administrative/source identifier,"DMI, milk yield and composition.xlsx",Sheet1,Replication No,IDENTIFIER,
Dry_Matter_Intake_(DMI)_Kg_per_day,Dry matter intake per cow (kg),kg,per cow per day,Source record says measured using standard procedures; exact instrument/protocol UNCLEAR,"DMI, milk yield and composition.xlsx",Sheet1,DMI (kg),DIRECTLY_MEASURED,
Milk_Yield_L_per_day,Daily milk yield per cow (liters),L,per cow per day,Recorded observation; exact collection method UNCLEAR,"DMI, milk yield and composition.xlsx",Sheet1,Milk Yield (L/day/cow),OBSERVED,
