dataset,grouping,group,count,missing_count,minimum,maximum,mean,median,standard_deviation,p01,p05,p25,p50,p75,p95,p99
global_cattle_milk_yield_prediction_dataset.csv,overall,ALL,250000,0,3.0,25.0,12.0151748,12.0,3.959997910577576,3.0,5.4,9.3,12.0,14.7,18.6,21.3
global_cattle_milk_yield_prediction_dataset.csv,Feed_Type,Concentrates,31282,0,3.0,25.0,12.059970590115721,12.1,3.943235353529038,3.0,5.5,9.3,12.1,14.7,18.6,21.1
global_cattle_milk_yield_prediction_dataset.csv,Feed_Type,Crop_Residues,31273,0,3.0,25.0,11.99148786493141,12.0,3.953409975846282,3.0,5.4,9.3,12.0,14.7,18.5,21.3
global_cattle_milk_yield_prediction_dataset.csv,Feed_Type,Dry_Fodder,31569,0,3.0,25.0,12.007564382780574,12.0,3.9720622714255898,3.0,5.3,9.3,12.0,14.7,18.6,21.3
global_cattle_milk_yield_prediction_dataset.csv,Feed_Type,Green_Fodder,31222,0,3.0,25.0,12.032044712062008,12.0,3.9766414206895973,3.0,5.4,9.3,12.0,14.7,18.6,21.4
global_cattle_milk_yield_prediction_dataset.csv,Feed_Type,Hay,31134,0,3.0,25.0,12.0154493479797,12.0,3.9706404487970883,3.0,5.4,9.3,12.0,14.7,18.6,21.3
global_cattle_milk_yield_prediction_dataset.csv,Feed_Type,Mixed_Feed,31151,0,3.0,25.0,12.001075406889024,12.0,3.946288639728927,3.0,5.4,9.3,12.0,14.7,18.5,21.2
global_cattle_milk_yield_prediction_dataset.csv,Feed_Type,Pasture_Grass,31290,0,3.0,25.0,12.01287631831256,12.0,3.948074073730945,3.0,5.4,9.3,12.0,14.7,18.6,21.4
global_cattle_milk_yield_prediction_dataset.csv,Feed_Type,Silage,31079,0,3.0,25.0,12.000875189034394,12.0,3.9694707283559767,3.0,5.4,9.3,12.0,14.7,18.6,21.5
global_cattle_milk_yield_prediction_dataset.csv,Lactation_Stage,Early,75059,0,3.0,25.0,12.017675428662784,12.0,3.944197884801478,3.0,5.5,9.3,12.0,14.7,18.6,21.3
global_cattle_milk_yield_prediction_dataset.csv,Lactation_Stage,Late,74933,0,3.0,25.0,12.023853308956001,12.0,3.967234188531223,3.0,5.4,9.3,12.0,14.7,18.6,21.3
global_cattle_milk_yield_prediction_dataset.csv,Lactation_Stage,Mid,100008,0,3.0,25.0,12.006795456363491,12.0,3.9664235454596395,3.0,5.4,9.3,12.0,14.7,18.6,21.3
global_cattle_milk_yield_prediction_dataset.csv,Breed,Africander,6310,0,3.0,25.0,12.098621236133123,12.1,3.905419256980424,3.0,5.6,9.4,12.1,14.8,18.6,21.490999999999985
global_cattle_milk_yield_prediction_dataset.csv,Breed,Ankole,6330,0,3.0,25.0,11.961848341232228,12.0,3.9218530880090334,3.0,5.345000000000004,9.3,12.0,14.6,18.5,21.1
global_cattle_milk_yield_prediction_dataset.csv,Breed,Australian_Friesian_Sahiwal,6230,0,3.0,25.0,11.990706260032104,12.0,3.9672121417071575,3.0,5.3,9.2,12.0,14.7,18.6,21.2
global_cattle_milk_yield_prediction_dataset.csv,Breed,Australian_Milking_Zebu,6297,0,3.0,25.0,12.010862315388279,12.0,3.944315731671315,3.0,5.3,9.3,12.0,14.6,18.7,21.203999999999997
global_cattle_milk_yield_prediction_dataset.csv,Breed,Ayrshire,6206,0,3.0,25.0,12.096342249436029,12.0,3.9835282724023133,3.0,5.425000000000001,9.3,12.0,14.8,18.8,21.4
global_cattle_milk_yield_prediction_dataset.csv,Breed,Boran,6245,0,3.0,25.0,12.035196156925538,12.0,4.012951962541885,3.0,5.3,9.3,12.0,14.7,18.7,21.5
