file,sheet,row_number,identifier,column,issue_type,original_value,severity,recommended_action
Different fodders components in the samples.xlsx,Composites feeds,101,621,SAMPLE ID,REPEATED_INGREDIENT_IN_SAMPLE,centella asiatica,WARNING,Verify the raw entry; do not silently deduplicate.
Different fodders components in the samples.xlsx,Composites feeds,34,249,SAMPLE ID,REPEATED_INGREDIENT_IN_SAMPLE,comelina,WARNING,Verify the raw entry; do not silently deduplicate.
Different fodders components in the samples.xlsx,Composites feeds,72,294,SAMPLE ID,REPEATED_INGREDIENT_IN_SAMPLE,banana pseudostem,WARNING,Verify the raw entry; do not silently deduplicate.
Different fodders components in the samples.xlsx,Composites feeds,86,604,SAMPLE ID,REPEATED_INGREDIENT_IN_SAMPLE,centella asiatica,WARNING,Verify the raw entry; do not silently deduplicate.
Different fodders components in the samples.xlsx,Composites feeds,DATASET,,SAMPLE ID,INCONSISTENT_INGREDIENT_SPELLING,Examples include digitalia/digitaria and sugarcanne/sugarcane,WARNING,Create an expert-reviewed vocabulary before standardisation.
Different fodders components in the samples.xlsx,Composites feeds,DATASET,,nutrient columns,NO_COMPONENT_NUTRIENT_COLUMNS,"Workbook contains composite ingredient text only; DM, CP, NDF, and ME values are stored in the cow workbook.",INFO,Use the Lab N° relationship with documented limitations.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,100,621,cowageinyears,TEXT_IN_NUMERIC_AGE_COLUMN,sahiwal*jersey,ERROR,Source correction required; values are detailed breed descriptions in all highland rows.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,100,621,leftover,NEGATIVE_LEFTOVER,-2.6459251560000006,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,101,622,cowageinyears,TEXT_IN_NUMERIC_AGE_COLUMN,local*jersey,ERROR,Source correction required; values are detailed breed descriptions in all highland rows.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,101,622,leftover,NEGATIVE_LEFTOVER,-6.52447692,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,102,622,cowageinyears,TEXT_IN_NUMERIC_AGE_COLUMN,local*jersey,ERROR,Source correction required; values are detailed breed descriptions in all highland rows.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,102,622,leftover,NEGATIVE_LEFTOVER,-1.07788855,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,103,622,%watergap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,103,622,cowageinyears,TEXT_IN_NUMERIC_AGE_COLUMN,local*fresian,ERROR,Source correction required; values are detailed breed descriptions in all highland rows.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,103,622,gapwater,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,103,622,leftover,NEGATIVE_LEFTOVER,-0.6136854960000004,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,103,622,waterrequi.,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,104,623,cowageinyears,TEXT_IN_NUMERIC_AGE_COLUMN,local*fresian,ERROR,Source correction required; values are detailed breed descriptions in all highland rows.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,105,624,cowageinyears,TEXT_IN_NUMERIC_AGE_COLUMN,local*fresian,ERROR,Source correction required; values are detailed breed descriptions in all highland rows.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,105,624,leftover,NEGATIVE_LEFTOVER,-2.126483383,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,106,625,cowageinyears,TEXT_IN_NUMERIC_AGE_COLUMN,local*fresian,ERROR,Source correction required; values are detailed breed descriptions in all highland rows.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,106,625,leftover,NEGATIVE_LEFTOVER,-1.2863803619999992,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,107,628,%watergap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,107,628,DMfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,107,628,cowageinyears,TEXT_IN_NUMERIC_AGE_COLUMN,local*fresian,ERROR,Source correction required; values are detailed breed descriptions in all highland rows.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,107,628,gapwater,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,107,628,parity,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,107,628,waterrequi.,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,13,225,cowageinyears,MISSING_VALUE,,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,19,233,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,19,233,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,19,233,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,19,233,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,19,233,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,19,233,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,19,233,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,24,238,%MEgap,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,24,238,5.023*peakMilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,24,238,MEIntake,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,24,238,MEfeeds,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,24,238,MEmaint+peakmilk,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,24,238,MW*0.589=Energyformaintenance,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,24,238,gapME,MISSING_VALUE,nan,WARNING,Clarify from source; do not impute during audit.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,36,251,leftover,NEGATIVE_LEFTOVER,-5.586259354999999,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,37,252,leftover,NEGATIVE_LEFTOVER,-8.53069081,ERROR,Physical next-morning leftovers cannot be negative; clarify whether this column was back-calculated.
