source_variable_name,exact_definition,unit,period,measurement_status,source_file,source_sheet,source_column,notes
sites,Sites; 1=lowlands; 2=highlands,category code,UNCLEAR,OBSERVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,sites,
LabN°,Laboratory sample identification number: each lab number corresponds to mixture of fodder fed to each selected cow,identifier,UNCLEAR,IDENTIFIER,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,LabN°,
cowbreed,Cow breed: exotic and cross,category,UNCLEAR,OBSERVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,cowbreed,
cowageinyears,Cow  age (years),years,UNCLEAR,OBSERVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,cowageinyears,The 30 highland rows contain detailed breed text in this column; numeric age is usable only for 64 rows.
parity,Cow parity; Number of birth that the cow has (number),birth count,UNCLEAR,OBSERVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,parity,
Bodyweight,"Cow body weight, (kg)",kg,UNCLEAR,DIRECTLY_MEASURED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,Bodyweight,
MW,Cow metabolical weight=BW^0.75 (kg),kg^0.75,UNCLEAR,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,MW,
DMIR kg,Dry matter intake requirement (kg),kg DM/cow/day,per cow per day,MODEL_DERIVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,DMIR kg,
DM served,DM of served feeds(kgDM),kg DM/cow/day,per cow per day,DIRECTLY_MEASURED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,DM served,
leftover,leftovers(kgDM),kg DM/cow/day,per cow per day,DIRECTLY_MEASURED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,leftover,"External methodology says next-morning leftovers were weighed, but 28 source values are negative."
daysinmilk,Days in milk= the number of days that the cow has spent being milked(days),days,lactation-to-observation interval,OBSERVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,daysinmilk,
lactationperiod,"Lactation period:1 to 100 days: peak, 101 to 200 days:middle; 201 on ward:late lactation",category,UNCLEAR,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,lactationperiod,
Ass.calfmilk,Assumed milk suckled by calf: from birth to 60 days of age= 6litres; from 61 days to 90 days=4 litres; from 91 days to 120 days=2 litres; 121 days to 200 days=1 litres; from 201 days on ward=0 litres (litres),L/cow/day,per cow per day,MODEL_DERIVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,Ass.calfmilk,
hand-milked yield,"Hand milked yield, measured using graduated plastic measuring jugs of 1 litre, 2 litres and 5 litres capacity after each milking session.(litres)",L/cow/day,per cow per day,DIRECTLY_MEASURED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,hand-milked yield,
Total milk performance,Total milk performance: it is the addition of assumed milk suckled by the calf and the observed milk yield(litres),L/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,Total milk performance,
gapmilk,Gap milk in litres: it is obtained by subtracting the total milk performance that include assumed milk suckled by the calf from the potential milk yields.(litres),L/cow/day,per cow per day,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,gapmilk,
potentialmilk,Potential milk of the cow:potential milk production was estimated based on the information on potential milk yield achieved by similar breed of the same village(litres),L/cow/day,per cow per day,MODEL_DERIVED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,potentialmilk,
%gapmilk,Percentage of gap in milk yield=the total milk performance*100/potential milk value (%),percent,UNCLEAR,CALCULATED,Specific data recorded on individual cows under lactation in Rwanda 2020-2021.xlsx,Raw data,%gapmilk,
