source_workbook,source_sheet,source_row_number,cow_id,replication,thi_category,genetic_group,dry_matter_intake_kg_day
"DMI, milk yield and composition.xlsx",Sheet1,2,102,1,T0,Local,6.91
"DMI, milk yield and composition.xlsx",Sheet1,3,102,2,T0,Local,6.61
"DMI, milk yield and composition.xlsx",Sheet1,4,102,3,T0,Local,7.31
"DMI, milk yield and composition.xlsx",Sheet1,5,102,4,T0,Local,6.75
"DMI, milk yield and composition.xlsx",Sheet1,6,102,5,T0,Local,6.42
"DMI, milk yield and composition.xlsx",Sheet1,7,102,1,T1,Local,6.46
"DMI, milk yield and composition.xlsx",Sheet1,8,102,2,T1,Local,5.76
"DMI, milk yield and composition.xlsx",Sheet1,9,102,3,T1,Local,6.93
"DMI, milk yield and composition.xlsx",Sheet1,10,102,4,T1,Local,6.1
"DMI, milk yield and composition.xlsx",Sheet1,11,102,5,T1,Local,6.7
"DMI, milk yield and composition.xlsx",Sheet1,12,102,1,T2,Local,6.12
"DMI, milk yield and composition.xlsx",Sheet1,13,102,2,T2,Local,6.3
"DMI, milk yield and composition.xlsx",Sheet1,14,102,3,T2,Local,6.44
"DMI, milk yield and composition.xlsx",Sheet1,15,102,4,T2,Local,5.33
"DMI, milk yield and composition.xlsx",Sheet1,16,102,5,T2,Local,6.11
"DMI, milk yield and composition.xlsx",Sheet1,17,103,1,T0,Local,7.4
"DMI, milk yield and composition.xlsx",Sheet1,18,103,2,T0,Local,6.96
"DMI, milk yield and composition.xlsx",Sheet1,19,103,3,T0,Local,6.55
"DMI, milk yield and composition.xlsx",Sheet1,20,103,4,T0,Local,6.43
"DMI, milk yield and composition.xlsx",Sheet1,21,103,5,T0,Local,6.43
"DMI, milk yield and composition.xlsx",Sheet1,22,103,1,T1,Local,6.38
"DMI, milk yield and composition.xlsx",Sheet1,23,103,2,T1,Local,6.12
"DMI, milk yield and composition.xlsx",Sheet1,24,103,3,T1,Local,6.49
"DMI, milk yield and composition.xlsx",Sheet1,25,103,4,T1,Local,5.4
"DMI, milk yield and composition.xlsx",Sheet1,26,103,5,T1,Local,5.86
"DMI, milk yield and composition.xlsx",Sheet1,27,103,1,T2,Local,5.64
"DMI, milk yield and composition.xlsx",Sheet1,28,103,2,T2,Local,5.35
"DMI, milk yield and composition.xlsx",Sheet1,29,103,3,T2,Local,5.9
"DMI, milk yield and composition.xlsx",Sheet1,30,103,4,T2,Local,5.7
"DMI, milk yield and composition.xlsx",Sheet1,31,103,5,T2,Local,6.05
"DMI, milk yield and composition.xlsx",Sheet1,32,104,1,T0,Local,6.6
"DMI, milk yield and composition.xlsx",Sheet1,33,104,2,T0,Local,6.87
"DMI, milk yield and composition.xlsx",Sheet1,34,104,3,T0,Local,7.38
"DMI, milk yield and composition.xlsx",Sheet1,35,104,4,T0,Local,6.72
"DMI, milk yield and composition.xlsx",Sheet1,36,104,5,T0,Local,6.09
"DMI, milk yield and composition.xlsx",Sheet1,37,104,1,T1,Local,6.58
"DMI, milk yield and composition.xlsx",Sheet1,38,104,2,T1,Local,5.75
"DMI, milk yield and composition.xlsx",Sheet1,39,104,3,T1,Local,6.5
"DMI, milk yield and composition.xlsx",Sheet1,40,104,4,T1,Local,5.78
"DMI, milk yield and composition.xlsx",Sheet1,41,104,5,T1,Local,5.76
"DMI, milk yield and composition.xlsx",Sheet1,42,104,1,T2,Local,4.83
"DMI, milk yield and composition.xlsx",Sheet1,43,104,2,T2,Local,5.87
"DMI, milk yield and composition.xlsx",Sheet1,44,104,3,T2,Local,5.52
"DMI, milk yield and composition.xlsx",Sheet1,45,104,4,T2,Local,5.14
"DMI, milk yield and composition.xlsx",Sheet1,46,104,5,T2,Local,5.61
"DMI, milk yield and composition.xlsx",Sheet1,47,105,1,T0,Local,7.2
"DMI, milk yield and composition.xlsx",Sheet1,48,105,2,T0,Local,7.22
"DMI, milk yield and composition.xlsx",Sheet1,49,105,3,T0,Local,6.67
"DMI, milk yield and composition.xlsx",Sheet1,50,105,4,T0,Local,6.26
"DMI, milk yield and composition.xlsx",Sheet1,51,105,5,T0,Local,7.02
"DMI, milk yield and composition.xlsx",Sheet1,52,105,1,T1,Local,6.19
"DMI, milk yield and composition.xlsx",Sheet1,53,105,2,T1,Local,6.16
"DMI, milk yield and composition.xlsx",Sheet1,54,105,3,T1,Local,6.33
"DMI, milk yield and composition.xlsx",Sheet1,55,105,4,T1,Local,5.93
"DMI, milk yield and composition.xlsx",Sheet1,56,105,5,T1,Local,6.14
"DMI, milk yield and composition.xlsx",Sheet1,57,105,1,T2,Local,5.18
"DMI, milk yield and composition.xlsx",Sheet1,58,105,2,T2,Local,5.25
"DMI, milk yield and composition.xlsx",Sheet1,59,105,3,T2,Local,5.28
"DMI, milk yield and composition.xlsx",Sheet1,60,105,4,T2,Local,4.72
"DMI, milk yield and composition.xlsx",Sheet1,61,105,5,T2,Local,4.98
"DMI, milk yield and composition.xlsx",Sheet1,62,106,1,T0,Local,6.58
"DMI, milk yield and composition.xlsx",Sheet1,63,106,2,T0,Local,7.51
"DMI, milk yield and composition.xlsx",Sheet1,64,106,3,T0,Local,6.72
"DMI, milk yield and composition.xlsx",Sheet1,65,106,4,T0,Local,7.07
"DMI, milk yield and composition.xlsx",Sheet1,66,106,5,T0,Local,6.32
"DMI, milk yield and composition.xlsx",Sheet1,67,106,1,T1,Local,6.13
"DMI, milk yield and composition.xlsx",Sheet1,68,106,2,T1,Local,6.71
"DMI, milk yield and composition.xlsx",Sheet1,69,106,3,T1,Local,6.13
"DMI, milk yield and composition.xlsx",Sheet1,70,106,4,T1,Local,6.56
"DMI, milk yield and composition.xlsx",Sheet1,71,106,5,T1,Local,5.84
"DMI, milk yield and composition.xlsx",Sheet1,72,106,1,T2,Local,5.45
"DMI, milk yield and composition.xlsx",Sheet1,73,106,2,T2,Local,5.24
"DMI, milk yield and composition.xlsx",Sheet1,74,106,3,T2,Local,5.56
"DMI, milk yield and composition.xlsx",Sheet1,75,106,4,T2,Local,5.81
"DMI, milk yield and composition.xlsx",Sheet1,76,106,5,T2,Local,5.51
"DMI, milk yield and composition.xlsx",Sheet1,77,107,1,T0,Local,6.74
"DMI, milk yield and composition.xlsx",Sheet1,78,107,2,T0,Local,6.06
"DMI, milk yield and composition.xlsx",Sheet1,79,107,3,T0,Local,6.76
"DMI, milk yield and composition.xlsx",Sheet1,80,107,4,T0,Local,6.95
"DMI, milk yield and composition.xlsx",Sheet1,81,107,5,T0,Local,6.47
"DMI, milk yield and composition.xlsx",Sheet1,82,107,1,T1,Local,6.34
"DMI, milk yield and composition.xlsx",Sheet1,83,107,2,T1,Local,5.5
"DMI, milk yield and composition.xlsx",Sheet1,84,107,3,T1,Local,6.24
"DMI, milk yield and composition.xlsx",Sheet1,85,107,4,T1,Local,5.88
"DMI, milk yield and composition.xlsx",Sheet1,86,107,5,T1,Local,6.43
"DMI, milk yield and composition.xlsx",Sheet1,87,107,1,T2,Local,5.31
"DMI, milk yield and composition.xlsx",Sheet1,88,107,2,T2,Local,5.88
"DMI, milk yield and composition.xlsx",Sheet1,89,107,3,T2,Local,5.69
"DMI, milk yield and composition.xlsx",Sheet1,90,107,4,T2,Local,5.39
"DMI, milk yield and composition.xlsx",Sheet1,91,107,5,T2,Local,5.76
"DMI, milk yield and composition.xlsx",Sheet1,92,108,1,T0,Local,6.09
"DMI, milk yield and composition.xlsx",Sheet1,93,108,2,T0,Local,6.51
"DMI, milk yield and composition.xlsx",Sheet1,94,108,3,T0,Local,6.98
"DMI, milk yield and composition.xlsx",Sheet1,95,108,4,T0,Local,6.3
"DMI, milk yield and composition.xlsx",Sheet1,96,108,5,T0,Local,6.27
"DMI, milk yield and composition.xlsx",Sheet1,97,108,1,T1,Local,5.86
"DMI, milk yield and composition.xlsx",Sheet1,98,108,2,T1,Local,6.12
"DMI, milk yield and composition.xlsx",Sheet1,99,108,3,T1,Local,7.0
"DMI, milk yield and composition.xlsx",Sheet1,100,108,4,T1,Local,6.54
"DMI, milk yield and composition.xlsx",Sheet1,101,108,5,T1,Local,5.63
"DMI, milk yield and composition.xlsx",Sheet1,102,108,1,T2,Local,5.12
"DMI, milk yield and composition.xlsx",Sheet1,103,108,2,T2,Local,5.71
"DMI, milk yield and composition.xlsx",Sheet1,104,108,3,T2,Local,5.65
"DMI, milk yield and composition.xlsx",Sheet1,105,108,4,T2,Local,5.44
"DMI, milk yield and composition.xlsx",Sheet1,106,108,5,T2,Local,5.45
"DMI, milk yield and composition.xlsx",Sheet1,107,109,1,T0,Local,6.94
"DMI, milk yield and composition.xlsx",Sheet1,108,109,2,T0,Local,7.18
"DMI, milk yield and composition.xlsx",Sheet1,109,109,3,T0,Local,6.76
"DMI, milk yield and composition.xlsx",Sheet1,110,109,4,T0,Local,7.42
"DMI, milk yield and composition.xlsx",Sheet1,111,109,5,T0,Local,7.36
"DMI, milk yield and composition.xlsx",Sheet1,112,109,1,T1,Local,5.95
"DMI, milk yield and composition.xlsx",Sheet1,113,109,2,T1,Local,6.58
"DMI, milk yield and composition.xlsx",Sheet1,114,109,3,T1,Local,6.04
"DMI, milk yield and composition.xlsx",Sheet1,115,109,4,T1,Local,6.06
"DMI, milk yield and composition.xlsx",Sheet1,116,109,5,T1,Local,6.52
"DMI, milk yield and composition.xlsx",Sheet1,117,109,1,T2,Local,5.74
"DMI, milk yield and composition.xlsx",Sheet1,118,109,2,T2,Local,4.48
"DMI, milk yield and composition.xlsx",Sheet1,119,109,3,T2,Local,5.48
"DMI, milk yield and composition.xlsx",Sheet1,120,109,4,T2,Local,5.78
"DMI, milk yield and composition.xlsx",Sheet1,121,109,5,T2,Local,4.65
"DMI, milk yield and composition.xlsx",Sheet1,122,110,1,T0,Local,7.25
"DMI, milk yield and composition.xlsx",Sheet1,123,110,2,T0,Local,6.97
"DMI, milk yield and composition.xlsx",Sheet1,124,110,3,T0,Local,7.24
"DMI, milk yield and composition.xlsx",Sheet1,125,110,4,T0,Local,6.33
"DMI, milk yield and composition.xlsx",Sheet1,126,110,5,T0,Local,7.04
"DMI, milk yield and composition.xlsx",Sheet1,127,110,1,T1,Local,6.38
"DMI, milk yield and composition.xlsx",Sheet1,128,110,2,T1,Local,6.04
"DMI, milk yield and composition.xlsx",Sheet1,129,110,3,T1,Local,5.65
"DMI, milk yield and composition.xlsx",Sheet1,130,110,4,T1,Local,6.32
"DMI, milk yield and composition.xlsx",Sheet1,131,110,5,T1,Local,6.73
"DMI, milk yield and composition.xlsx",Sheet1,132,110,1,T2,Local,5.42
"DMI, milk yield and composition.xlsx",Sheet1,133,110,2,T2,Local,5.69
"DMI, milk yield and composition.xlsx",Sheet1,134,110,3,T2,Local,4.68
"DMI, milk yield and composition.xlsx",Sheet1,135,110,4,T2,Local,5.74
"DMI, milk yield and composition.xlsx",Sheet1,136,110,5,T2,Local,5.3
"DMI, milk yield and composition.xlsx",Sheet1,137,111,1,T0,Local,6.71
"DMI, milk yield and composition.xlsx",Sheet1,138,111,2,T0,Local,6.37
"DMI, milk yield and composition.xlsx",Sheet1,139,111,3,T0,Local,7.53
"DMI, milk yield and composition.xlsx",Sheet1,140,111,4,T0,Local,6.51
"DMI, milk yield and composition.xlsx",Sheet1,141,111,5,T0,Local,6.7
"DMI, milk yield and composition.xlsx",Sheet1,142,111,1,T1,Local,6.43
"DMI, milk yield and composition.xlsx",Sheet1,143,111,2,T1,Local,6.18
"DMI, milk yield and composition.xlsx",Sheet1,144,111,3,T1,Local,6.04
"DMI, milk yield and composition.xlsx",Sheet1,145,111,4,T1,Local,6.47
"DMI, milk yield and composition.xlsx",Sheet1,146,111,5,T1,Local,5.64
"DMI, milk yield and composition.xlsx",Sheet1,147,111,1,T2,Local,5.66
"DMI, milk yield and composition.xlsx",Sheet1,148,111,2,T2,Local,6.4
"DMI, milk yield and composition.xlsx",Sheet1,149,111,3,T2,Local,5.67
"DMI, milk yield and composition.xlsx",Sheet1,150,111,4,T2,Local,5.19
"DMI, milk yield and composition.xlsx",Sheet1,151,111,5,T2,Local,5.36
"DMI, milk yield and composition.xlsx",Sheet1,152,202,1,T0,HF50,8.91
"DMI, milk yield and composition.xlsx",Sheet1,153,202,2,T0,HF50,9.59
"DMI, milk yield and composition.xlsx",Sheet1,154,202,3,T0,HF50,10.35
"DMI, milk yield and composition.xlsx",Sheet1,155,202,4,T0,HF50,9.13
"DMI, milk yield and composition.xlsx",Sheet1,156,202,5,T0,HF50,9.61
"DMI, milk yield and composition.xlsx",Sheet1,157,202,1,T1,HF50,8.96
"DMI, milk yield and composition.xlsx",Sheet1,158,202,2,T1,HF50,10.42
"DMI, milk yield and composition.xlsx",Sheet1,159,202,3,T1,HF50,9.8
"DMI, milk yield and composition.xlsx",Sheet1,160,202,4,T1,HF50,9.41
"DMI, milk yield and composition.xlsx",Sheet1,161,202,5,T1,HF50,9.61
"DMI, milk yield and composition.xlsx",Sheet1,162,202,1,T2,HF50,8.7
"DMI, milk yield and composition.xlsx",Sheet1,163,202,2,T2,HF50,8.24
"DMI, milk yield and composition.xlsx",Sheet1,164,202,3,T2,HF50,9.1
"DMI, milk yield and composition.xlsx",Sheet1,165,202,4,T2,HF50,8.84
"DMI, milk yield and composition.xlsx",Sheet1,166,202,5,T2,HF50,8.31
"DMI, milk yield and composition.xlsx",Sheet1,167,203,1,T0,HF50,9.37
"DMI, milk yield and composition.xlsx",Sheet1,168,203,2,T0,HF50,9.63
"DMI, milk yield and composition.xlsx",Sheet1,169,203,3,T0,HF50,9.0
"DMI, milk yield and composition.xlsx",Sheet1,170,203,4,T0,HF50,9.75
"DMI, milk yield and composition.xlsx",Sheet1,171,203,5,T0,HF50,9.46
"DMI, milk yield and composition.xlsx",Sheet1,172,203,1,T1,HF50,9.04
"DMI, milk yield and composition.xlsx",Sheet1,173,203,2,T1,HF50,8.53
"DMI, milk yield and composition.xlsx",Sheet1,174,203,3,T1,HF50,9.3
"DMI, milk yield and composition.xlsx",Sheet1,175,203,4,T1,HF50,8.7
"DMI, milk yield and composition.xlsx",Sheet1,176,203,5,T1,HF50,8.89
"DMI, milk yield and composition.xlsx",Sheet1,177,203,1,T2,HF50,8.8
"DMI, milk yield and composition.xlsx",Sheet1,178,203,2,T2,HF50,8.47
"DMI, milk yield and composition.xlsx",Sheet1,179,203,3,T2,HF50,8.67
"DMI, milk yield and composition.xlsx",Sheet1,180,203,4,T2,HF50,8.37
"DMI, milk yield and composition.xlsx",Sheet1,181,203,5,T2,HF50,8.64
"DMI, milk yield and composition.xlsx",Sheet1,182,204,1,T0,HF50,9.57
"DMI, milk yield and composition.xlsx",Sheet1,183,204,2,T0,HF50,9.69
"DMI, milk yield and composition.xlsx",Sheet1,184,204,3,T0,HF50,9.43
"DMI, milk yield and composition.xlsx",Sheet1,185,204,4,T0,HF50,9.14
"DMI, milk yield and composition.xlsx",Sheet1,186,204,5,T0,HF50,9.1
"DMI, milk yield and composition.xlsx",Sheet1,187,204,1,T1,HF50,8.82
"DMI, milk yield and composition.xlsx",Sheet1,188,204,2,T1,HF50,9.4
